TICKER,RSI,STOCH,SHARPE,TREYNOR,P/VL
A,40.82,82.6,0.64,70.19,2.91
AA,32.42,17.55,1.8,25.65,0.34
AAC,93.91,91.66,1.38,58.75,1.78
AACE,27.74,82.08,1.83,81.28,0.71
AACG,59.62,74.93,1.15,25.55,3.81
AACO,84.65,14.21,1.84,78.27,2.25
AACP,95.08,93.84,0.01,76.85,0.81
AACQ,79.52,33.02,0.6,84.21,2.03
AAIC,45.6,50.86,0.4,29.79,3.02
AAL,16.29,56.1,1.39,44.69,0.34
AAMC,96.86,24.58,0.89,82.5,1.26
AAME,90.34,83.51,1.51,99.96,0.52
AAN,79.22,46.26,0.43,77.21,3.76
AAOI,92.27,74.66,1.42,11.28,0.13
AAON,29.96,90.87,0.91,74.14,2.82
AAP,20.65,78.82,0.72,73.52,2.87
AAPL,29.23,97.43,0.77,19.3,1.84
AAQC,29.66,82.08,0.09,65.72,3.36
AAT,36.04,20.42,0.41,29.13,0.86
AAU,45.97,93.17,0.66,97.69,2.44
AAWW,54.77,20.99,0.21,16.23,3.08
AB,83.13,75.87,0.79,51.36,2.88
ABB,39.6,73.12,0.69,60.07,2.52
ABBV,90.4,12.81,1.99,68.59,3.42
ABC,58.75,29.28,1.58,89.49,3.4
ABCB,29.59,33.12,1.41,31.13,0.68
ABCFF,33.25,55.29,0.32,62.09,3.31
ABCL,55.71,40.48,0.54,65.43,3.3
ABCM,41.23,63.01,1.38,72.88,3.78
ABCO,72.69,89.74,0.31,20.29,0.17
ABCP,37.67,48.16,1.67,35.77,1.44
ABEO,21.03,32.5,0.72,91.45,1.8
ABEV,63.8,28.59,0.16,47.88,1.17
ABG,71.57,66.81,1.44,47.71,2.06
ABGI,98.58,22.92,0.04,12.45,3.93
ABIO,64.3,76.96,0.81,33.61,1.84
ABM,11.08,61.16,0.67,41.24,2.76
ABMC,98.21,19.77,1.64,91.97,2.16
ABMD,74.6,58.94,1.31,95.5,1.98
ABNB,47.11,17.98,1.34,35.23,0.89
ABR,92.34,34.59,1.08,58.77,3.02
ABST,55.13,82.22,1.08,21.79,3.53
ABT,84.43,19.22,0.62,16.52,2.62
ABTX,48.27,70.61,0.12,11.59,0.22
ABUS,92.49,29.56,1.7,58.09,1.94
AC,87.85,96.61,1.38,96.23,1.17
ACA,24.49,16.43,0.67,69.33,0.51
ACAC,91.34,51.28,1.64,57.76,2.3
ACAD,65.81,96.16,1.95,38.26,1.37
ACAH,22.86,35.55,2,36.64,1.33
ACAM,18.65,31.88,0.85,36.4,2.18
ACB,37.4,81.08,0.58,11.68,2.87
ACBA,30.93,98.83,0.11,82.3,1.45
ACBI,16.82,32.79,1.87,52.59,1.87
ACC,41.29,49.88,0.68,27.21,3.35
ACCC,93.55,91.14,1.35,67.33,1.08
ACCD,76.95,23.39,1.13,24.18,2.33
ACCO,94.59,33.29,0.29,45.42,3.52
ACCV,77.52,86.27,0.05,55.79,3.99
ACDVF,53.76,29.52,1.2,77.92,0.22
ACEL,64.22,62.21,1.65,25.59,3.86
ACER,83.15,10.24,0.04,53.08,1.17
ACET,94.86,29.48,1.47,68.3,0.75
ACEV,15.85,91.08,1.96,24.39,3.13
ACGL,13.02,10.45,0.61,44.68,2.1
ACH,47.64,32.85,1.82,70.25,0.12
ACHC,67.71,55.5,0.24,10.57,2.72
ACHL,28.94,41.7,0.37,22.82,3.42
ACHV,36.04,30.35,0.97,73.47,1.99
ACI,90.28,88.4,1.89,30.88,1.85
ACIC,75.17,86.34,0.61,90.91,2.12
ACII,19.74,36.04,0.39,75.23,1.28
ACIU,88.92,86.51,0.63,68.17,0.08
ACIV,31.22,50.43,1.74,14.43,3.94
ACIW,83.13,99.35,1.08,48,2.49
ACKIT,55.44,22.54,1.28,24.2,3.66
ACLS,91.47,19.34,1.15,36.3,1.77
ACM,59.93,67.61,0.46,15.12,3.73
ACMR,24.19,96.41,1.07,52.48,0.22
ACN,12.82,61.12,0.7,33.48,0.64
ACNB,62.1,27.76,2,56.4,1.92
ACND,55.24,20.7,0.12,90.38,1.24
ACOR,26.93,43.39,1.04,76.21,2.08
ACQR,97.53,91.54,1.05,25.31,0.59
ACR,22.75,89.67,0.96,90.36,3.26
ACRE,57.62,84.03,0.41,32.41,0.58
ACRO,83.3,11.79,1.86,97.26,1.34
ACRS,25.75,71.83,0.05,61.49,3.45
ACRX,55.91,18.99,1.06,58.5,3.7
ACST,29.86,54.82,0.79,78.35,0.12
ACT,72.14,36.86,1.87,30.52,3.18
ACTC,14.69,90.55,0.35,79.56,1.48
ACTD,19.89,43.18,1.79,41.61,0.32
ACTG,79.82,39.22,1.99,25.38,3.17
ACU,33.72,65.73,1.52,90.07,3.38
ACUR,45.44,56.33,0.3,37.57,2.88
ACVA,29.32,36.76,0.35,74.13,0.37
ACY,16.88,16.86,0.64,86.99,3.67
ADAG,75.25,14.41,1.63,54.53,3.9
ADAP,88.89,31.65,0.25,76.08,3.75
ADBE,22.75,57.19,1.81,51.02,2.31
ADC,28.94,71.26,0.09,99.7,1.98
ADCT,48.02,60.66,1.9,93.56,3.81
ADER,49.55,86.02,1.33,34.58,2.74
ADES,26.44,67.16,0.66,65.48,2.74
ADEX,49.52,38.65,0.61,46.17,1.76
ADF,87.62,67.97,0.44,22.38,1.33
ADI,12.97,36.42,1.37,25.08,2.11
ADIL,60.75,55.46,1.87,89.45,0.7
ADM,34.09,51.5,1.8,22.23,1.4
ADMA,18.86,39.51,0.5,33.43,3.12
ADMP,77.42,90.66,1.64,62.89,1.81
ADMS,97.1,89.51,0.69,42.13,0.64
ADMT,30.6,27.06,0.62,39.32,0.5
ADMY,45.62,18.58,1.68,62.32,2.67
ADN,60.35,87.37,0.17,48.83,0.41
ADNT,56.99,45.22,0.52,22.16,1.99
ADOC,92.22,25.34,0.32,23.09,0.19
ADOM,65.54,52.79,0.67,53.24,2.71
ADP,82.41,84.02,1.01,58.99,1.04
ADPT,66.05,16.77,1.22,22.97,0.95
ADRA,10.51,19.93,1.22,75.65,2.81
ADS,39.59,40.88,0.82,48.18,3.65
ADSK,71.44,20.52,1.5,91.87,3.13
ADT,27.68,39.77,1.48,12.45,3.46
ADTN,37.38,42.52,0.38,66.92,3.35
ADTX,51.93,59.89,0.44,98.57,2.47
ADUS,93.53,79.03,0.3,94.7,3.49
ADV,45.36,27.31,0.85,47.7,0.85
ADVM,75.14,54.69,0.82,15.57,2.28
ADXN,37.97,66.94,1.52,21.96,2.41
ADXS,46.27,70.39,1.98,25.73,0.57
ADYEY,24.34,80.61,1.59,67.93,3.86
ADYX,79.33,94.06,0.18,87.42,3.82
AE,91.97,38.7,1.94,18.99,0.52
AEAC,39.31,42.1,1.26,25.81,3.81
AEE,26.88,35.94,0.87,15.22,2.86
AEG,12.08,32.34,1.13,56.2,2.39
AEGN,52.6,93.02,0.9,52.88,3.72
AEHL,84.97,90.83,1.4,51.98,2.69
AEHR,62.84,63.24,0.41,19.65,0.5
AEI,53.49,62.2,0.81,34.14,2.21
AEIS,36.58,59.04,1.95,22.17,0.34
AEL,72.3,92.89,0.6,66.52,0.33
AEM,61.2,71.78,1.53,16.36,1.23
AEMD,84.17,10.19,0.14,51.75,2.89
AENZ,25.02,90.1,1.49,69.02,1.24
AEO,31.84,34.52,0.95,84.82,0.42
AEP,38.99,12.65,0.36,41.97,0.86
AER,60.45,94.36,1.53,87.27,0.65
AERI,22.56,64.46,0.59,89.36,1.09
AES,50.54,68.16,0.93,91.56,0.28
AESE,39.18,85.15,1.55,95.73,1.23
AETUF,86.71,43.1,1.3,76.82,3.97
AEVA,56.47,58.55,0.3,21.13,1.88
AEY,76.2,20.62,0.76,60.02,1.21
AEYE,56.7,33.71,0.16,66.42,3.48
AEZS,68.56,80.02,0.8,53.11,2.13
AFAC,28.2,14.31,0.61,62.77,3.36
AFAQ,78.19,60.55,1.61,84.77,2.34
AFBI,12.81,22.55,1.56,50.27,3.11
AFCG,77.6,93.69,0.13,22.06,3.86
AFG,66.54,75.02,1.43,88.95,1.04
AFHIF,55.18,19.55,1.49,41.61,1.87
AFI,37.68,63.56,1.25,91.55,3.29
AFIB,48.09,56.98,0.35,13.56,3.61
AFIN,81.46,22.19,0.2,65.09,2.65
AFL,46.35,99.36,0.5,70.28,1.18
AFMD,47.56,74.67,0.45,77.94,2.04
AFRM,40.06,23.63,0.11,78.34,3.79
AFYA,90.22,36.91,0.35,28.51,3.73
AG,79.33,66.79,1.05,56.11,2.95
AGAC,77.37,59.56,1.74,99.6,3.71
AGBA,17.25,94.29,0.41,83.05,1.3
AGC,76.82,49.53,1.28,98.9,3.96
AGCB,89.98,66.47,1.75,46.94,2.31
AGCO,81.39,17.57,1.61,80.44,1.04
AGE,19.45,46.69,1.03,39.94,2.23
AGEN,56.09,57.66,0.33,57.14,2.18
AGFS,78.17,37.68,1.5,15.28,1.45
AGFY,11.35,92.69,1.54,88.79,0.75
AGGR,74.72,50.03,0.2,97.1,3.89
AGHC,72.22,40.77,1.75,80.9,3.29
AGI,54.01,15.97,0.64,11.45,3.04
AGIO,78.52,13.77,1.38,96.13,2.25
AGL,58.1,95.59,0.2,15.14,3.4
AGLE,54.15,47.31,0.08,64.63,1.66
AGM,97.4,75.54,1.66,27.45,1.13
AGM.A,68.2,98.82,0.41,68.98,2.65
AGMH,49.39,47.38,1.66,92.13,3.42
AGNC,25.1,78.33,1.84,23.34,0.38
AGO,63.87,23.4,1.18,73.74,0.57
AGR,82.42,61.43,0.74,72.28,0.63
AGRI,71.3,13.37,1.76,15.36,1.68
AGRO,20.94,48.7,0.68,88.15,1.48
AGRX,96.81,72.67,0.51,69.17,3.81
AGS,84.83,69.79,0.07,17.33,0.67
AGTC,18.22,86.02,1.56,92.27,3.41
AGTI,55.75,37.27,0.07,66.61,1.5
AGX,35.4,72.9,1.4,14.77,1.84
AGYS,11.06,84.67,1.68,14.69,3.12
AHAC,68.77,61.16,0.52,24.48,3.35
AHC,47.82,98.29,0.14,73.55,2.46
AHCO,35.02,91.32,0.72,34.07,3.16
AHH,85.08,74.89,0.34,51.41,1.65
AHM,47.98,18.92,0.71,62.77,1.83
AHPI,88.34,25.44,0.96,58.44,3.78
AHT,51.85,93.13,1.7,48.48,2.59
AI,48.69,18.73,1.46,99.5,2.73
AIG,11.52,29.42,1.5,52.25,1.09
AIH,95.16,80.8,0.87,48.33,3.53
AIHS,21.36,99.21,0.32,56.24,3.93
AIKI,93.15,60.46,1.26,57.16,0.02
AIM,65.8,90.65,1.68,40.6,3.86
AIMC,28.45,20.1,1.97,33.25,1.56
AIN,51.27,24.18,1.5,29.42,0.69
AINC,86.9,98.79,1.05,78.61,2.92
AINV,71.39,30.58,0.94,48.64,3.07
AIR,23.77,54.69,0.54,93.21,1.02
AIRC,33.02,81.32,0.19,18.02,2.94
AIRG,92.13,66.55,0.56,51.14,3.49
AIRI,69.83,64.4,0.03,76.1,3.74
AIRO,48.26,20.04,1.22,63.02,1.84
AIRT,88.75,66.62,0.05,78.31,1.52
AIT,91.08,66.01,2,41.26,2.31
AIV,69.54,26.53,0.32,74.32,3.1
AIZ,95.15,63.13,1.67,53.74,3.47
AJAX,40.48,43.49,1.16,39.8,1.47
AJG,69.45,52.08,0.23,87.23,3.54
AJRD,84.9,70.58,0.65,80.55,0.79
AJX,75.69,70.08,0.64,76.82,2.88
AKAM,22.57,34.12,1.74,23.49,0.63
AKBA,36.69,16.71,0.28,37.69,1.22
AKIC,61.83,49.85,0.9,66.8,2.27
AKO.A,72.81,92.33,1.16,52.46,2.32
AKO.B,96.94,10.02,1.33,19.05,2.73
AKOM,24.28,99.82,0.78,91.09,3.46
AKR,44.91,50.62,1.29,84.17,1.01
AKRO,86.69,75.63,0.6,55.32,3.46
AKTS,14.19,13.42,1.23,93.2,1.47
AKTX,33.14,54.64,1.39,89.22,3.03
AKU,35.52,63.61,0.59,15.41,3.54
AKUS,84.57,23.33,1.72,10.02,3.15
AKYA,17.84,34.44,1.73,25.94,2.21
AL,42.79,17.66,0.8,69.72,0.35
ALAC,25.56,66.99,1.74,87.57,2.84
ALB,94.12,89.73,0.77,36.55,3.21
ALBO,90.11,97.73,0.26,52.68,2.93
ALC,52.76,55.98,0.92,78.33,2.54
ALCC,39.17,26.66,0.66,81.31,1.79
ALCO,71.02,21.63,1.13,72.44,0.97
ALDX,95.48,13.37,0.5,82.04,1.73
ALE,88.62,16.77,0.55,53.26,3.4
ALEAF,37.48,24.71,0.54,77.46,3.96
ALEC,72.47,62.46,1.47,49.03,2.3
ALEX,96.97,70.87,1.13,45.49,3.5
ALF,11.42,15.69,0.96,98.62,0.33
ALG,77.16,27.84,1.29,39.66,1.35
ALGM,14.96,85.14,1.15,55.38,1.29
ALGN,98.35,36.52,1.45,70.5,0.24
ALGS,60.53,43,0.93,80.64,1.43
ALGT,35.72,48.24,1.22,22.39,1.9
ALHC,98.54,82.45,0.52,12.53,2.73
ALIM,15.67,31.56,0.35,70.63,0.65
ALJJ,94.42,65.02,1.08,47.33,1.25
ALK,30.27,92.77,1.29,83.58,1.24
ALKS,38.16,98.27,0.94,82.75,3.11
ALKT,70.74,64.83,0.5,94.57,2.48
ALL,17.3,34.43,0.58,20.85,1.54
ALLE,21.59,48.69,1.46,39.17,2.82
ALLK,73.97,98.85,0.04,36.02,3.73
